id,full_name,mail,tel,date_naissance,adresse,numero_contrat,type_contrat,annee_inscription,prime_annuelle,profession,situation_familiale,kpi_score,sentiment
1,Mohamed Belhaj,client1@mail.tn,+21664903402,1975-04-05,"109 Rue 3, La Marsa",STAR-000001,VIE,2023,2166.22,RETRAITE,MARIE,71,POSITIF
2,Maher Dridi,client2@mail.tn,+21696708456,2005-11-23,"2 Rue 49, Mateur",STAR-000002,HABITATION,2014,2678.08,INFORMATICIEN,DIVORCE,80,POSITIF
3,Nour Turki,client3@mail.tn,+21697350753,1981-02-03,"12 Rue 47, Mateur",STAR-000003,SANTE,2011,832.12,INFORMATICIEN,DIVORCE,84,POSITIF
4,Maher Nasri,client4@mail.tn,+21694905582,2000-10-28,"59 Rue 50, Hammam-Lif",STAR-000004,VOYAGE,2022,488.68,EMPLOYE,MARIE,16,NEGATIF
5,Hedi Belhaj,client5@mail.tn,+21693871230,1989-11-27,"175 Rue 42, Zaghouan",STAR-000005,VOYAGE,2011,281.33,INGENIEUR,DIVORCE,42,NEUTRE
6,Karim Tlili,client6@mail.tn,+21664539704,1984-05-21,"9 Rue 21, Monastir",STAR-000006,VIE,2021,5120.17,ENSEIGNANT,MARIE,93,POSITIF
7,Sirine Bouaziz,client7@mail.tn,+21663320821,1985-11-15,"150 Rue 28, Zaghouan",STAR-000007,AUTO,2007,823.81,RETRAITE,DIVORCE,83,POSITIF
8,Sarra Chaabane,client8@mail.tn,+21691192619,1967-03-21,"98 Rue 39, Nabeul",STAR-000008,AUTO,2013,1667.33,INFORMATICIEN,MARIE,89,POSITIF
9,Wissem Belhaj,client9@mail.tn,+21696007072,2001-06-04,"196 Rue 12, Ben Arous",STAR-000009,VOYAGE,2014,417.38,ETUDIANT,DIVORCE,30,NEGATIF
10,Youssef Mejri,client10@mail.tn,+21665041154,1970-09-25,"29 Rue 24, Tunis",STAR-000010,HABITATION,2019,4673.97,ENSEIGNANT,VEUF,95,POSITIF
11,Ali Bouaziz,client11@mail.tn,+21694374754,1964-09-25,"136 Rue 39, Bizerte",STAR-000011,AUTO,2015,605.43,RETRAITE,CELIBATAIRE,64,NEUTRE
